X,Y,OBJECTID,Type,Detail_Type,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,name,Ownership,Management,Surface,Use_,Condition,Lat,Long
-89.72661045585663,46.74272646184361,6093,Campground,State Park,Baraga,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,Porcupine Mountains State Park White Pine,State,DNR,Dirt,Recreation,Unknown,46.74271797,-89.7266035
-83.655356490283694,42.80844480242942,6094,Campground,State Park,Bay City,Oakland,Seven Lakes State Park,Modern,75,4,Seven Lakes State Park  ,State,DNR,Dirt,Recreation,Unknown,42.80843657,-83.65535185
-86.495070133241228,43.66199285416198,6095,Campground,State Park,Cadillac,Oceana,Silver Lake State Park,Modern,203,12,Silver Lake State Park  ,State,DNR,Dirt,Recreation,Unknown,43.66198464,-86.49506454
-83.210549172106369,43.979574471811723,6096,Campground,State Park,Bay City,Huron,Sleeper State Park,Modern,223,7,Sleeper State Park  ,State,DNR,Dirt,Recreation,Unknown,43.97956602,-83.21054455
-84.686129202364199,44.424014316073666,6097,Campground,State Park,Roscommon,Roscommon,South Higgins Lake State Park,Modern,411,0,South Higgins Lake State Park  ,State,DNR,Dirt,Recreation,Unknown,44.42400587,-84.68612408
-83.336293577588719,41.905326330479944,6098,Campground,State Park,Pontiac,Monroe,Sterling State Park,Modern,261,0,Sterling State Park  ,State,DNR,Dirt,Recreation,Unknown,41.90531825,-83.33628911
-84.722155504677715,45.854158864403026,6099,Campground,State Park,Gaylord,Mackinac,Straits State Park,Modern,313,0,Straits State Park  ,State,DNR,Dirt,Recreation,Unknown,45.85415019,-84.7221502
-84.71812258913485,45.8492095739905,6100,Campground,State Park,Gaylord,Mackinac,Straits State Park,Modern,1,0,Straits State Park  ,State,DNR,Dirt,Recreation,Unknown,45.8492009,-84.71811729
-85.036775486010669,46.558986660626552,6101,Campground,State Park,Gaylord,Luce,Tahquamenon Falls State Park,Modern,72,4,Tahquamenon Falls State Park Rivermouth,State,DNR,Dirt,Recreation,Unknown,46.5589779,-85.03677
-85.037918086355731,46.555876298535615,6102,Campground,State Park,Gaylord,Luce,Tahquamenon Falls State Park,Semi Modern,36,0,Tahquamenon Falls State Park Rivermouth,State,DNR,Dirt,Recreation,Unknown,46.55586753,-85.0379126
-85.208978988064459,46.608697454550722,6103,Campground,State Park,Gaylord,Luce,Tahquamenon Falls State Park,Modern,88,0,Tahquamenon Falls State Park Lower Falls,State,DNR,Dirt,Recreation,Unknown,46.60868869,-85.20897344
-85.197974165525835,46.603356021921329,6104,Campground,State Park,Gaylord,Luce,Tahquamenon Falls State Park,Modern,81,8,Tahquamenon Falls State Park Lower Falls,State,DNR,Dirt,Recreation,Unknown,46.60334726,-85.19796862
-83.444474546951795,44.258268243617081,6105,Campground,State Park,Roscommon,Iosco,Tawas Point State Park,Modern,195,0,Tawas Point State Park  ,State,DNR,Dirt,Recreation,Unknown,44.25825976,-83.44446982
-85.549854726851521,44.746149343858683,6106,Campground,State Park,Roscommon,Grand Traverse,Traverse City State Park,Modern,343,0,Traverse City State Park  ,State,DNR,Dirt,Recreation,Unknown,44.74614089,-85.5498493
-85.551514628548603,44.744895034611872,6107,Campground,State Park,Roscommon,Grand Traverse,Traverse City State Park,Organizational,1,0,Traverse City State Park  ,State,DNR,Dirt,Recreation,Unknown,44.74488659,-85.5515092
-88.85795247336651,46.889672180037934,6108,Campground,State Park,Baraga,Houghton,Twin Lakes State Park,Modern,60,0,Twin Lakes State Park  ,State,DNR,Dirt,Recreation,Unknown,46.88966361,-88.85794576
-86.304601635192029,42.330028079749887,6109,Campground,State Park,Plainwell,Van Buren,Van Buren State Park,Modern,220,0,Van Buren State Park  ,State,DNR,Dirt,Recreation,Unknown,42.33002008,-86.30459623
